Brass,Karlas,Konig
UBL5,TRIM14,GSR
NDUFB8,EPB41L4A-AS2,KCNK12
CHMP2B,CRAMP1L,SUMO1
PRPF8,PLK3,PALM2
NOSTRIN,TRMT61A,PLK3
MFAP1,FCHO2,PRKAG2
CWC22,TNFRSF18,PLK4
PLCH2,GCLC,DHCR7
PRPF31,PRPF8,HIPK3
ATP6AP1,B2M,AKT1
DSC3,UBAC2,HIPK1
CLN5,FAU,HECTD1
CHDC2,DUSP27,ARAF
PIP,APBB1IP,IKBKE
ZNF473,DLG2,LOC730974
DHX8,AHCYL1,FKBP8
RAB5A,SFTPB,FGFR4
NUP98,LINGO1,UBXN10
NUPL1,EIF3A,RAB17
HRK,EIF3C,SMG1
SLC41A3,ATP6AP1,ADAMTS2
SNRPD3,RETN,GRK6
SNRPD2,ATP6AP2,OSBPL6
PCGF6,MYC,GRK5
GSK3A,LARP1,ATP6AP1
SLC2A2,TFE3,NTRK1
ARCN1,OPN1SW,NTRK2
ANGPTL3,NUP98,ATP6AP2
COPB1,RFFL,SLC48A1
COPB2,SAFB,LOC653712
STARD5,TRIM21,NUP214
CYB5R4,TBL3,HTR2A
DMD,RBM42,ATP6V0D1
FUS,BARHL2,DYRK1B
COPS6,PLD2,CXORF21
NOS3,RUNX1,IL36G
SFXN2,COPB1,CDC42BPA
CNTN5,NTHL1,FOXQ1
IQSEC1,COPB2,TAOK1
CRADD,DBT,AQP4
STAC3,NUP205,SUMO2
COPZ1,FBXW10,TRIM28
SULT1C4,ATP6V1A,CDC42BPB
EFTUD2,SNX6,FNTB
SLC35A1,ZBTB2,FPR1
B4GALT2,MAN2B1,BZRAP1
THRSP,CDKN1B,CREB1
NHP2L1,SNX9,PCSK7
ZNF224,RPS27A,CSNK1G2
NXF1,MAP3K7CL,SMARCD3
PDLIM3,RAB6B,KLK9
SAMM50,DCLK2,MDM2
MTFR1,LONP1,FGFR2
SART1,MED6,KSR2
PCDHGA1,PSENEN,UBR4
GINS2,CYP2U1,NFAT5
MPG,XPO1,ADRA1B
GJA3,KANSL1,PCCB
UBE2A,ATP2C1,PTMA
ESAM,HPGD,HIPK2
CLK3,CEL,CD3EAP
EIF4A2,JUN,PPP1R12C
NUTF2,NEK8,APP
INMT,KATNB1,OSER1
SCYL3,PIK3R5,ARCN1
XIAP,PRSS27,GSK3B
TRIM28,ISG15,HUNK
MPZL1,SF3A1,MID1IP1
LY6G6C,DMAP1,COPB2
RBM14,PPP1R14D,SCN3A
TPRX1,CLSTN3,PAK2
ATP6V0B,XPNPEP1,PAK3
NUP107,CLUH,SYCE2
ABCD1,EPHB6,C14ORF28
TGS1,NXF1,NPY1R
RPS4X,TCF3,ATP6V1A
CRNKL1,VNN2,OXSR1
YTHDC1,RPL35,HAND2
PPAN,AKTIP,HRAS
PRRT1,ATG13,ITGA3
KRTCAP2,POLR2L,DCLK1
GDPD5,HIST1H2BN,MIB1
ZNF132,CHST5,G6PC3
WDR18,POLR2H,DCLK2
ATP5F1,IRF2,PDK3
AMOTL1,SUPT6H,ALPK2
RPS16,NAA10,GPR62
CCDC74B,PSMD14,MAP1LC3C
CCDC74A,SIGMAR1,PSENEN
SF3B1,RACGAP1,APOA1
SF3B3,SLC22A6,ADRBK2
SF3B2,BAIAP3,TPT1
MYOCD,CLK1,NEK6
MLKL,PCDH18,PANK4
PRSS8,PHF2,ADAMTSL4
CACTIN,IL17RA,AGTRAP
EIF2S1,TRERF1,CTSG
ZNF16,DHRS2,KHSRP
PGD,RPS5,JUN
SRP54,KIF11,AFF2
AQR,IL1A,ROR2
DYNC1I1,EIF3G,SCNN1G
DCLRE1B,NEK9,PIK3R4
CALCOCO2,SULF2,JAK2
EVC2,GPR146,SF3A1
LRP1B,TAMM41,PRSS35
ZNF552,CD81,RACGAP1
COPG1,DTX3,PRKACA
EPRS,AP2M1,PPP1R14D
COPA,PSMA1,PTS
ATP6V1G1,RNF150,FAM135A
PIEZO1,SNRNP70,EPHB2
FCGR2A,ARTN,IL5RA
CPLX1,TSSK6,NHP2L1
SNRPB,ATP6V0C,C5ORF38
BACE1,CLIC4,EPHB4
ZNF154,TNK2,ENG
RAB29,FERMT3,TRPV2
ATP6V0E2,TRIM60,DUPD1
AHCY,CRYAA,SUMO4
SLC1A3,ATP6V0D1,TUBB3
,CNNM1,DSP
,LHX3,NF1P8
,ATCAY,TRDMT1
,SMU1,CSE1L
,LPPR4,DLG5
,GNRH2,ANAPC2
,ATP1A2,PBK
,HSF4,C2ORF42
,XAB2,TNK2
,RPS10,RPS6KA2
,STAB1,HIST3H3
