Gene	OptionalDataColumns
215	2.6
1780	3.5
6729	4.9
154810	2.9
2521	4.2
7691	3.7
10815	2.1
57147	3.1
1315	3.9
1314	3
9276	3.6
11185	4
57122	2
2700	4
10204	4
4236	4.4
4846	4.5
7319	3.7
51167	3.1
1825	4.2
5304	3.9
537	2.1
533	3.9
10594	3.4
8704	2.8
372	4.3
53942	2.7
115677	2.3
118980	3.8
191	3.1
9092	2.2
9650	3
9651	3.7
10432	4.2
25888	4.7
9716	4.7
25813	2.5
4809	2.1
6514	4.9
9780	4.2
1659	2.1
8738	2.3
8739	3.7
2931	2.6
90952	3.7
197259	4
200185	3.5
4350	3.1
79818	3.2
54946	4.7
25978	3
6507	4.2
10980	4
91746	3.3
56342	2.2
9550	2.3
515	2.6
80863	3.2
53353	4.9
331	2.8
59286	5
10559	4.1
7710	2.5
51340	4.1
2058	2.4
10992	3.1
5868	4
90557	4.3
27329	4.6
22820	3.4
56114	3.9
57418	2.3
10155	2.5
80765	2.8
10241	2.2
5652	4.9
84108	3.3
2212	3.8
7564	4.8
91409	3.2
58509	3.7
5226	3.7
6217	4.1
7767	3.3
6191	2.7
27233	3.7
26121	2.7
155066	4.1
9343	4.7
132884	4.1
6628	2.4
64858	2.5
1203	4.5
286464	3.8
80740	4.5
93649	2.1
22818	4.4
81544	3.4
1198	4.9
9818	2.7
1965	2.1
4928	4.1
9019	2.1
8934	2
1756	2
10482	2.5
51659	3.8
246329	2.4
284355	3.2
23451	3.2
23450	2.4
6633	4.2
6634	2.2
23621	2.6
4714	3
57703	2.6
7069	2.1
1974	4.1
27295	3.1
96764	3.5
9922	2.9
